,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Armin van Buuren Shapov, The Last Dancer,unknown,0.0585,https://api.spotify.com/v1/audio-analysis/2e9eNOK6KfJfkAxQXs6gMz,3B,0.47,210125.0,0.896,2e9eNOK6KfJfkAxQXs6gMz,0.00561,1.0,0.244,-3.692,1.0,0.0366,129.965,4.0,https://api.spotify.com/v1/tracks/2e9eNOK6KfJfkAxQXs6gMz,audio_features,spotify:track:2e9eNOK6KfJfkAxQXs6gMz,0.307
1,Armin van Buuren Shapov, Our Origin,unknown,0.00946,https://api.spotify.com/v1/audio-analysis/3SeowzTaXWE7YsIvltrFgE,8A,0.452,211406.0,0.927,3SeowzTaXWE7YsIvltrFgE,0.353,9.0,0.118,-6.496,0.0,0.033,131.984,4.0,https://api.spotify.com/v1/tracks/3SeowzTaXWE7YsIvltrFgE,audio_features,spotify:track:3SeowzTaXWE7YsIvltrFgE,0.0372
2,Shapov, Future Rave,unknown,0.00801,https://api.spotify.com/v1/audio-analysis/5L6rdXRG90HRb75q1eQ6Nf,12B,0.348,256477.0,0.989,5L6rdXRG90HRb75q1eQ6Nf,0.0748,4.0,0.295,-2.746,1.0,0.109,128.02,4.0,https://api.spotify.com/v1/tracks/5L6rdXRG90HRb75q1eQ6Nf,audio_features,spotify:track:5L6rdXRG90HRb75q1eQ6Nf,0.403
3,Shapov   MEG\NERAK   Tiësto Dallask   EX1ST Shapov, Everybody ,Shapov Mashup,0.00152,https://api.spotify.com/v1/audio-analysis/4eRWmfraCyhJUu6TsxUX9J,11B,0.708,265312.0,0.957,4eRWmfraCyhJUu6TsxUX9J,0.369,9.0,0.0759,-3.355,1.0,0.0617,128.013,4.0,https://api.spotify.com/v1/tracks/4eRWmfraCyhJUu6TsxUX9J,audio_features,spotify:track:4eRWmfraCyhJUu6TsxUX9J,0.289
4,TV Noise   Drop Department SuitStatic, Weird ,Matisse & Sadko Mashup,0.000716,https://api.spotify.com/v1/audio-analysis/3cx6mhzKNKpRtZ1X0SX8lT,3B,0.907,164762.0,0.917,3cx6mhzKNKpRtZ1X0SX8lT,0.175,1.0,0.0448,-4.5,1.0,0.119,126.039,4.0,https://api.spotify.com/v1/tracks/3cx6mhzKNKpRtZ1X0SX8lT,audio_features,spotify:track:3cx6mhzKNKpRtZ1X0SX8lT,0.445
5,NERAK, ID,unknown,,,,,,,,,,,,,,,,,,,
6,Wiwek Gregor Salto   Masters At Work, On Your Mark ,Shapov Mashup,0.00474,https://api.spotify.com/v1/audio-analysis/6Sj9HYcxzo9fbCc7HcxbIS,8B,0.744,241245.0,0.831,6Sj9HYcxzo9fbCc7HcxbIS,0.789,0.0,0.128,-4.022,1.0,0.0507,128.025,4.0,https://api.spotify.com/v1/tracks/6Sj9HYcxzo9fbCc7HcxbIS,audio_features,spotify:track:6Sj9HYcxzo9fbCc7HcxbIS,0.201
7,Sebastian Ingrosso   Hard Rock Sofa   Swedish House Mafia, Dark River ,Shapov Mashup,0.0334,https://api.spotify.com/v1/audio-analysis/1EYFgYzq3fJGDdEtVMsATh,10A,0.782,192400.0,0.699,1EYFgYzq3fJGDdEtVMsATh,0.000352,11.0,0.176,-5.853,0.0,0.0298,126.037,4.0,https://api.spotify.com/v1/tracks/1EYFgYzq3fJGDdEtVMsATh,audio_features,spotify:track:1EYFgYzq3fJGDdEtVMsATh,0.699
8,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,Sebastian Ingrosso   Alesso Ryan Tedder   Candi Staton   Whitney Houston, Laktos is Calling ,Sebastian Ingrosso Re-Edit,,,,,,,,,,,,,,,,,,,
10,Michael Brun   Florence + The Machine   Shapov, Zenith ,Say My Name,0.00499,https://api.spotify.com/v1/audio-analysis/00Ic1AgzQLAgDBocrCzRYB,8B,0.695,324763.0,0.886,00Ic1AgzQLAgDBocrCzRYB,0.472,0.0,0.0676,-4.785,1.0,0.0418,126.998,4.0,https://api.spotify.com/v1/tracks/00Ic1AgzQLAgDBocrCzRYB,audio_features,spotify:track:00Ic1AgzQLAgDBocrCzRYB,0.473
11,Shapov Amersy, Vavilon,unknown,0.0227,https://api.spotify.com/v1/audio-analysis/2zWr1UXYeNtT5v3HXwZYHo,9B,0.56,337500.0,0.99,2zWr1UXYeNtT5v3HXwZYHo,0.895,7.0,0.21,-1.81,1.0,0.0483,128.003,4.0,https://api.spotify.com/v1/tracks/2zWr1UXYeNtT5v3HXwZYHo,audio_features,spotify:track:2zWr1UXYeNtT5v3HXwZYHo,0.476
12,w/ Ivan Gough Feenixpawl   Georgi Kay, In My Mind ,Acapella,0.00881,https://api.spotify.com/v1/audio-analysis/7Mf6UEKQcMAiKv5h1RI1gX,3A,0.71,359979.0,0.73,7Mf6UEKQcMAiKv5h1RI1gX,0.795,10.0,0.11,-8.949,0.0,0.0671,128.017,4.0,https://api.spotify.com/v1/tracks/7Mf6UEKQcMAiKv5h1RI1gX,audio_features,spotify:track:7Mf6UEKQcMAiKv5h1RI1gX,0.485
13,Swedish House Mafia Knife Party   ADL, Antidote,unknown,0.000643,https://api.spotify.com/v1/audio-analysis/14epucTZd8dLIYipdByNZS,9B,0.733,374125.0,0.821,14epucTZd8dLIYipdByNZS,0.373,7.0,0.0617,-6.021,1.0,0.0991,128.013,4.0,https://api.spotify.com/v1/tracks/14epucTZd8dLIYipdByNZS,audio_features,spotify:track:14epucTZd8dLIYipdByNZS,0.63
14,w/ New Order, Confusion ,Pump Panel Reconstruction,0.755,https://api.spotify.com/v1/audio-analysis/4LtczpoPqFfpXQZCNZl7UY,5A,0.514,286800.0,0.433,4LtczpoPqFfpXQZCNZl7UY,0.0,0.0,0.808,-15.163,0.0,0.944,72.928,4.0,https://api.spotify.com/v1/tracks/4LtczpoPqFfpXQZCNZl7UY,audio_features,spotify:track:4LtczpoPqFfpXQZCNZl7UY,0.552
